id,category,name,brand,description,pkey,quantity,price
,Plastic Consumables,Pipette Tips Finntip™ Flex 1000uL,ThermosFisher Scientific,10 racks,Thermo 94060713,10,64.55
,Plastic Consumables,Pipette Tips Finntip™ Flex 300uL,ThermosFisher Scientific,10 racks,Thermo 94060513,4,44.36
,Plastic Consumables,Pipette Tips Finntip™ Flex Non-Filtered 10uL,ThermosFisher Scientific,10 racks of 96,Thermo 94060103,22,65.21
,Plastic Consumables,"Sorensen Barrier Tip Sterile, low bind 1000ul",Sorenson BioScience,,14200T,18,96.96
,Plastic Consumables,"Sorensen Barrier Tip Sterile, low bind 200ul  ",Sorenson BioScience," 96 Tips/Rack, 10 Racks/Pack, 5 Packs/Case, Cell Rack    ",30550T,2,96.86
,Plastic Consumables,"Sorensen Barrier Tip Sterile, low bind, 20ul      ",Sorenson BioScience," Sterile, 96 Tips/Rack, 10 Racks/Pack, 5 Packs/Case, Cell Rack",14210T,5,103.03
,Plastic Consumables,"Sorensen Barrier Tip Sterile, low bind, Filtered 10ul       ",Sorenson BioScience,"Sterile, 96 Tips/Rack, 10 Racks/Pack, 5 Packs/Case, Cell Rack",15020T,0,96.86
,Plastic Consumables,"PCR Strip tubes 8-Flat Caps, Clear, 125strips/bag",Treff,,96.10570.9.01,,47
,Plastic Consumables,"PCR 8-Strip Tubes, Clear, 125strips/bag",Treff,,96.10560.9.01,,47
,Plastic Consumables,Treff 96-well low profile skirted PCR plate,Treff,,96.11204.9.01,10,170.82
,Plastic Consumables," DeepWell Plates with round bottom 2ml, Sterile, Case of 50",ThermosFisher Scientific,,95040462,10,315.53
,Plastic Consumables,"Eppendorf twin.tec PCR Plates 96 LoBind, skirted, clear, 25 pcs.                   ",,25pcs/case,30129512,30,158.11
,Plastic Consumables,"Eppendorf DNA LoBind Tubes, 0.5 mL, PCR clean, colorless, ",,250 tubes,,8,
,Plastic Consumables,"Eppendorf DNA LoBind Tubes, 1.5 mL, PCR clean, colorless, ",,250 tubes (5 bags × 50 tubes),22431021,8,16.37
,Plastic Consumables,"Eppendorf DNA LoBind Tubes, 2.0 mL, PCR clean, colorless, ",,250 tubes (5 bags × 50 tubes),22431048,2,29.68
,Plastic Consumables,Adhesive PCR Plate Seals 100 sheets/Pack (PCR),ThermosFisher Scientific,,AB0558,20,85
,Plastic Consumables,"Empore Sealing Tape, 10 pads x 24 sheets (Normal seals)",Sigma Aldrich/3M,,66881-U,40,131.3
,Plastic Consumables,"Eppendorf Storage Film, self-adhesive, PCR clean 50pcs/bag  (Dig/Lig)",Eppendorf,,30127870,30,121
,Plastic Consumables, Diamond shaped weighing boats( 80 mm × 50 mm × 14 mm),Heatrow scientific ,,W3887,10,14.89
,Plastic Consumables, Diamond shaped weighing boats(  125 mm × 100 mm × 19 mm),Heatrow scientific ,,W4137,10,11.9
,Plastic Consumables,"Tough-Spots, 9.5mm Diameter, 1000/roll (RED)",,,CODE: T-SPOTS(R),2,66.3
,Plastic Consumables,"Tough-Spots, 9.5mm Diameter, 1000/roll (BLUE)",,,CODE: T-SPOTS(B),2,66.3
,Plastic Consumables,100ml Reservoir,,,,,
,Plastic Consumables,50ml Reservoir,,,CLS4870,200,160.05
,Plastic Consumables,Tecan LiHa Filtered Tips 50ul 24/pack,TECAN,,,80,383.3
,Plastic Consumables,"GREENCHOICE Refills, 5 inserts of 96 tips                                                              ",Integra Biosciences A G,,6435,10,85.5
,Plastic Consumables,Non- Sterile GripTips for use with VIAFLO 96(5x boxes of 96)                ,Integra Biosciences A G,,6433  ,10,48
,Plastic Consumables, Sterile GripTips for use with VIAFLO 96(5x boxes of 96)                            ,Integra Biosciences A G,,6434,10,60
,Plastic Consumables, Filtered GripTips for use with VIAFLO 96(5x boxes of 96)                          ,Integra Biosciences A G,,6435 ,10,85.5
,Plastic Consumables,Disposable Reagent Reservoirs 100 ml                        ,Integra Biosciences A G,"200 reservoirs per case, bulk pack, sterile ",6325,1,307.64
,Plastic Consumables,"Disposable Reagent Reservoirs 300 ml, 200 reservoirs per case, bulk pack, sterile                           ",Integra Biosciences A G,,6326,1,349.16
,Reagent Consumables,Tween 20 ( 500ml),Sigma,,,2,45.55
,Reagent Consumables,Red Safe Nucleic Acid Staining Solution  ( 1 ml)     ,for Molecular Biology ,,21141,5,107.25
,Reagent Consumables,"Bromphenol Blue Sodium Salt, 10g",for Molecular Biology ,,or equivalent,1,57.63
,Reagent Consumables,"Glycerol, 500ml",Sigma,,G5516 ,1,60.19
,Reagent Consumables,Magnesium Acetate tetrahydrate 500g,VWR,,131,1,81.21
,Reagent Consumables,Magnesium Chloride Hexahydrate 1Kg,Sigma,,31413,1,30
,Reagent Consumables,"EB Buffer 250ml (10 mM Tris-Cl, pH 8.5)",,,19086,101,74.88
,Reagent Consumables,REDTaq SuperPak DNA polymerase 250U,Sigma,,D6063,45,
,Reagent Consumables,CTAB (Cetyl trimethylammonium bromide) 500g,AMResco,,833,1,259.01
,Reagent Consumables,"Xylene Cyanol FF,  10g",,,,1,71.28
,Reagent Consumables,"T4 DNA ligase 400,000 units/ml",NEB,,M0202S,56,64
,Reagent Consumables,"PST I - HF 20,000 units/ml",NEB,,R3140S,26,64
,Reagent Consumables,"HpaII 10,000 units/ml",NEB,,R0171S,25,64
,Reagent Consumables,"NlaIII 10,000 units/ml",NEB,,R0125S,10,64
,Reagent Consumables,"Alw I  10,000 units/ml",NEB,,R0513S,25,64
,Reagent Consumables,"HhaI 20,000 units/ml",NEB,,R0139S,32,64
,Reagent Consumables,"Sph I     10,000 units/ml",NEB,,R0182S,28,64
,Reagent Consumables,"Msp I 20,000 units/ml",NEB,,R0106S,30,64
,Reagent Consumables,"SbfI  10,000 units/m",NEB,,R0642S,20,64
,Reagent Consumables,"Nsp I 10,000 units/m",NEB,,R0602S,16,64
,Reagent Consumables,"Mse I 10,000 units/m",NEB,,R0525S,0,75
,Reagent Consumables,"BSA, Molecular Biology Grade",20 mg/ml,,B9000S,1,43
,Reagent Consumables,Adenoside Triphosphate (ATP),,,,1,213
,Reagent Consumables,Gene Ruler 1Kbp ,5 x 50 µg,,SM0313,1,189.83
,Reagent Consumables,Gene Ruler  100bp  ,5 x 50 µg,,SM0242,1,325.65
,Reagent Consumables,Agarose  500g,ThermosFisher scientific,,,3,234
,Reagent Consumables,Sodium Hydroxide 1Kg,Sigma,,30620,1,59.09
,Reagent Consumables,Sodium dodecyl sulfate 500g,Sigma,,L45009,1,90
,Reagent Consumables,MgCl 1Kg,Sigma,,,1,146.09
,Reagent Consumables,Sodium Chloride 1Kg,Sigma,,31434,1,33.26
,Reagent Consumables,SDS,Analytical Grade,,,1,282.78
,Reagent Consumables,REDTaq SuperPak DNA polymerase,,,D6063,50,102.56
,Reagent Consumables,EDTA- Ethylenediamine Tetra Acetic Acid,Sigma,,E9884,4,168.29
,Reagent Consumables,Tris Base 1Kg,CALBIOCHEM,,648311,1,
,Reagent Consumables,Potasium acetate 500g,BDH lab supplies,,103504X,1,
,Reagent Consumables,Ammonium Acetate 1Kg,Sigma,,32301,1,76.08
,Reagent Consumables,"Proteinase K (1000mg,) PROK23     ",for Molecular Biology ,,1g,1,957.02
,Reagent Consumables,Propan-2-ol ,Sigma,,2.5l,5,
,Reagent Consumables,Polyvinylpyrrolidone (PVP)  500g,VWR,,570,1,
,Reagent Consumables,Ethanol 96%,Sigma,,2.5L,3,
,Reagent Consumables,HiSeq 50 cycles kit Box 1 ,Illumina,,,3,
,Reagent Consumables,HiSeq 50 cycles kit Box 2,Illumina,,FC-401-4002,3,972
,Reagent Consumables, HiSeq® Multi-Primer Rehybridization Kit V4,Illumina,,GD-403-4001,0,
,Reagent Consumables, HiSeq® SR Cluster Kit v4 (box1&2),Illumina,,GD-401-4001,6,948
,Reagent Consumables,15067566 HiSeq cBot 2 Manifold kit,Illumina,,,,
,Reagent Consumables,SR Flow cell,Illumina,,,3,
,Reagent Consumables,Qiaquick PCR Purification Kit (250),Qiagen,,Cat No. 28106,1,1023.75
,Reagent Consumables,Machery Nagel NucleoMag 96 Plant Kits,MACHEREY-NAGEL,,744400.24,3,3903.9
,Reagent Consumables,Zymo Research-4*96 Genomic DNA Clean & Concentrator ,Zymo Research,,D4067,32,996.53
,Reagent Consumables,Machery Nagel NucleoMag 96 Tissue Kits,MACHEREY-NAGEL,,744300.24,1,4127.18
,Reagent Consumables,TanBead Plant extraction kit,TanBead,,,3,200
